DOY,8410140,8413320,8418150,8449130,8447930,8454000,8452944,8447386,8454049,8452660,8461490,8465705,8516945,8519483,8531680,8534720,8548989,8539094,8545240,8551910,8536110,8557380,8573927,8574680,8573364,8594900,8577330,8635750,8632200,8637689,8638863,8631044,8651370,8652587,8658120,8665530,8721604,8723970,8724580,8725520,8726724,8728690,8729108,8729210,8729840,8762482,8761724,8768094,8770475,8770570,8770971,8771341,8771450,8775870,8776604,9755371,9751401,9075099,9075014,9063079,9063063,9063020,9459450,9455920,9455500,9454240,9455090,9453220,9452210,9451600,9450460,9449880,9444090,9444900,9447130,9446484,9440910,9435380,9432780,9431647,9419750,9418767,9416841,9415144,9414863,9414750,9414290,9412110,9410660,9410230,1617433,1615680,1612480,1619910,1890000
1,5.902418271221531,4.041724747474747,4.367295152406709,3.7165750630119727,3.9702204222408026,4.57625731181107,4.710950357613401,4.934049464398235,4.685770296128991,5.432569537346712,5.851391505187055,4.610733901515152,3.7806380383450544,4.875883631862036,4.44853813758705,5.754763540807019,3.50083069828722,3.2959392057218144,3.4997813691838293,3.6199255859952677,5.4157835468426505,5.6077572595520415,3.688813725490196,5.786587344720497,3.7783035714285718,4.273206611756234,5.5797810088462265,5.472942570111049,6.768548442073698,7.1757913284632036,7.2969340316205535,6.577595245937637,8.976196407004831,9.494252221639645,9.413220656155438,13.030429068727273,20.042626811594204,22.49942927972104,22.713334886128365,20.47248023715415,17.597475414285714,13.346920732246819,16.100936489399928,16.306356389986824,14.324566167034545,15.418294987922703,15.4454307011514,13.170359213250517,14.547536114248071,13.295112514544087,13.444794685990338,14.076834315375983,14.019790800252048,15.607244758,15.8026428878,27.047354800043582,26.69117079384455,2.0564803312629403,1.0280646056841707,1.0935969766313016,4.268100080286562,1.8353350483421993,4.518931519602875,-0.8843226578674949,4.964851905341035,5.336403451620844,5.532468036621764,5.659658310796755,3.9495782749858837,6.570106562011596,6.312848021543673,8.207505565399119,8.049290458937199,8.167422532240373,9.474100337397438,9.229132722588243,7.729382081686429,9.81477536231884,10.101598589244471,10.5507040513834,10.442386010728402,10.682753518623084,11.426620435723695,9.472530538302278,11.120329710144926,10.831780555555556,11.34723427795031,12.905685842143862,15.081234148550726,14.912154150197628,25.603922798216274,24.481717391304347,24.185308770939205,21.132635299483127,26.81052066559313
2,5.798012972308489,3.680393646611038,4.197409069011201,3.5853216873706004,3.873430737673491,4.593336656549972,4.541427109440267,4.802214408697363,4.439350800915332,5.393728678929766,5.889105566534914,4.583291596085074,3.798939491256438,4.8736062005627225,4.69093253968254,5.61563088937188,3.465939476284585,3.2906992507147783,3.551289912280702,3.6240927618577072,5.427957352053141,5.5153900724637674,3.581421568627451,5.73016854793757,3.721958868577075,4.2037019656462,5.725818426162736,5.436747325741891,6.734255574136009,7.1714947916666665,7.182807308488613,6.560213274044796,9.01564117494824,9.561419513457556,9.450466833890747,12.964889657454545,20.10800120772947,22.922136740071522,22.84652232628745,20.668295729029424,17.56923230642857,13.362065769375553,15.987457116335575,16.242065217391303,14.487402630554557,15.962165421195651,15.397531183765825,12.87983303756285,14.402029220779221,13.183130486114676,12.702487922705313,13.695980747371413,13.719647583040778,15.207565544920001,14.805674602666667,26.930587337909994,26.60533545493296,2.0094273636991025,1.010723544973545,0.9771396661119202,4.11641553442029,1.8873039473684212,4.429749598227859,-0.8885544772256728,4.889211875081441,5.254094999203695,5.6472082795568825,5.589647599325887,3.8852898550724633,6.606567526676222,6.337830466634814,8.182840454772613,8.013151899429074,8.14927026746367,9.464335237584029,9.16980008578378,7.69325441370224,9.789047204968943,10.075195275738754,10.501589673913044,10.459543051410288,10.635019274874347,11.450327196095829,9.452358935965691,11.099752898550726,10.82681388888889,11.325866847826088,12.889423242923993,15.096269625603865,14.90491977225673,25.57946149864628,24.54522463768116,24.181178053830227,21.142987537824492,26.853700374123715
3,5.70460931781584,3.2698324301503647,4.101430205949657,3.3965778627484675,3.691074414715719,4.543484710726916,4.489144598155468,4.615116226494191,4.190688370121874,5.1761778846153845,5.871774133022774,4.465788869282891,3.5723971155655936,4.842746993948081,4.722109267224676,5.542723960821787,3.4596632199322417,3.2774763943785685,3.4717519614253023,3.5714537688359096,5.2645863526570045,5.220858729977117,3.417261268143621,5.673904278882826,3.5981747448979595,4.147443864106908,5.691487517916865,5.312855314177713,6.681709346745579,6.976436141304348,7.110728919631093,6.308535566400473,8.894705928853755,9.306148917076712,9.442190237298933,12.784026284681818,20.031874572795623,23.36985559253866,22.8019639931587,20.483723100570927,17.31958681142857,13.44874849244958,15.74736719966463,16.127119047619047,14.124245082815737,15.510850528946756,14.662205046686143,12.927079849579384,14.099349472990777,12.891769858192912,11.505721343873518,13.13922021503745,13.144064147415282,14.8027299084,14.147922706000001,26.842753623188408,26.57114916537267,1.992118310433528,1.1034216084984718,0.8586922320623693,4.00873117787785,1.8164726589200275,4.378770520826148,-0.8910550291345128,4.813576007326008,5.19926524975152,5.664907558182631,5.598505632316723,3.8065342869690695,6.631227106227106,6.333449431003779,8.156761959929126,7.976452477675303,8.133596201856351,9.393368237971593,9.170419594897854,7.602772727272727,9.7142773635594,10.011979238555327,10.423115100993591,10.463375463821892,10.615962038896413,11.4940182249955,9.444229166666668,11.077669778138528,10.825508730158731,11.297804846938776,12.887914532993245,15.099021454843466,14.912940546772068,25.584985847485846,24.577512422360247,24.208310935441368,21.125372072626078,26.778687541940783
4,5.613193785682916,3.242530747983265,4.012508116883117,3.506781663516068,3.6812081939799333,4.5142329352195425,4.372487389422172,4.50449676607977,4.062755434782609,5.209293106651803,5.816499855072464,4.187258036890645,3.465652138622247,4.836712076872403,4.399529479578392,5.407200064935065,3.258824604743083,3.1562516976487567,3.5025762417407154,3.4837369700844762,5.127957935331577,4.8842353491436095,3.5807185990338164,5.590288003663004,3.559003970214568,4.060859519104084,5.481451129654028,5.179077165286404,6.472547553694292,7.099229859335038,7.103210606060607,5.942811853002071,8.696108695652175,9.349122261259943,9.377123347666826,12.56117196431818,19.819958333333332,23.185535850495807,22.587711641461876,20.081926799046364,16.928100414035715,13.266000756489888,15.610882740447959,15.823833333333333,13.716726276350462,15.197392010483123,14.933999360131525,12.918416161616161,13.894293478260868,12.727714909185018,12.508005050505052,13.188651960784314,13.322132375264937,14.801630435166667,14.490591788666668,26.80375667429443,26.53386360303344,1.9345188296003513,1.0298621631129397,0.7584490846681922,4.036585402342755,1.7686015519568152,4.349811329974373,-0.8998809024888473,4.732848530188347,5.183178222980013,5.739964022954146,5.647720018508062,3.7878161663216012,6.549723826897741,6.277122985709942,8.136581519846137,7.944672162619988,8.107728294943438,9.335491435143325,9.126662342488428,7.531735507246378,9.63546945204554,9.95764467944988,10.483328616822224,10.450461194983506,10.634032852271345,11.560179955858587,9.482833534621578,11.070673309178744,10.840050925925926,11.30723123706004,12.940084665459478,15.121522219477383,14.935258322436527,25.57071361609405,24.555,24.148594202898547,21.136480153142053,26.714437734836288
5,5.475714480519481,3.4701643518518517,3.9895289855072464,3.5492763385270476,3.7046946169772252,4.345349265683147,4.324704207770064,4.457679752066116,4.08872913835523,5.200232954545455,5.676880906977589,4.035628969038209,3.374228347492429,4.761447996146366,4.064088850461133,5.205568608013592,3.135132822793149,3.028582251082251,3.5161394927536227,3.2908238224637683,5.024971275252525,5.037678809523809,3.5318434343434344,5.566007674390827,3.5280866977225673,4.045708259682976,5.41056206387547,5.293558941511387,6.504960035133949,7.057215376269085,6.994158801054018,5.926193711180124,8.852454572902943,8.861605210265925,9.293927358873011,12.442228021181819,19.679694616977226,22.268579056336492,22.38977102527605,19.772936019850352,16.835695799892857,12.591682851823695,15.364448051948052,15.656288819875776,13.55474899538867,15.14781334841629,14.53293141821946,12.886190700483091,13.765896358543417,12.723334259449377,12.681269841269842,13.443452380952381,13.72624456521739,15.01119094668,15.167451692466667,26.787343358395987,26.54853694946358,1.9359836093857834,1.3024730087028222,0.6781259076545118,3.969789961636829,1.7786309028500102,4.312371794871795,-0.9051639098928795,4.6718872311263615,5.149727012749178,5.730915730916872,5.582690227557378,3.693611462987178,6.492555361305362,6.2599957250987,8.109931690426148,7.936906099570401,8.110545637126755,9.314479980251505,9.113635297673342,7.462173659673659,9.621169207603991,9.946123977771462,10.423906605329877,10.43795331867925,10.658652438248026,11.545256229791903,9.490100044614538,11.054121376811594,10.821701121463077,11.320918284161491,12.976414146822693,15.137299107142857,14.91438217579522,25.570373467112596,24.480742028985507,24.033718614718612,21.131862648221343,26.707880744350994
6,5.386294815208946,3.2750407752472968,3.9261969461697723,3.3339887187088273,3.7520672564150828,4.314607475598935,3.9042004360373928,4.527131178338957,3.9583251811594207,5.3310534057971015,5.530288043478261,3.989291405514775,3.3540067523056654,4.614158523470704,3.9414800350341364,5.3134158249158245,3.1197861495388666,3.013408777213125,3.4918477241357677,3.2709965756164125,5.107671724033817,5.103930144927537,3.22203639657444,5.416056995540691,3.52951136195585,4.062819698810956,5.295326556629093,5.153876275510204,6.470118006918922,7.0073409090909085,6.861615144927537,5.799415685246431,8.921374654934437,8.65800471322292,9.214530578117534,12.36113150831818,19.578805132066,21.641460196935025,22.28539073479359,19.58091111032687,16.91772490775,12.581837208606178,15.322463768115943,15.730554018445323,13.746349396810466,14.339501322751325,14.782643610013174,12.90467057061296,13.64929512516469,12.874513328157349,12.728833333333334,13.514396422820335,13.830528985507247,14.9895979672,15.448315139133333,26.755406178489704,26.581143980566537,1.9150623582766442,1.202666216288887,0.6220671032819203,4.045265345268542,1.6965714847752893,4.220216422275919,-0.9102420948616602,4.570155478579392,5.124261333138145,5.71571147276954,5.581456472941981,3.6285581945228684,6.447432096888619,6.268464596997205,8.099897551224387,7.910402691511386,8.084997923116363,9.296747379476848,9.104870256555039,7.609681079789776,9.600116883116883,10.012468479588044,10.391686053077358,10.475572131026324,10.69203668786355,11.490424863325913,9.455915310491786,11.009322916666667,10.796832407407408,11.288573979591837,12.997938530734631,15.111565656565658,14.889102790325618,25.537823679943244,24.42630164690382,23.999879744651484,21.119391595723116,26.741256621225567
7,5.27022352700138,3.090547327296612,3.888414855072464,3.389811498133509,3.6553881639026566,4.291654896148183,3.8773000000000004,4.464343090922569,3.7210998317805384,5.173773002070393,5.353385209862601,3.96245009057971,3.2756463648341114,4.561007436404176,3.9616571595400645,5.105411286780852,3.017530370403641,2.9270968822311536,3.4705785573122534,3.1786759027721763,4.9792468434343435,4.981463484848485,2.954817502470356,5.323075668896322,3.3785614720424504,4.005681074134199,5.126517738635492,5.07459762274475,6.449104254776357,6.790600422382392,6.730407246376811,5.488145530280623,8.644043207698099,8.65184117125111,9.114665750915751,12.218565922727272,19.393130282415996,21.580960354058178,22.230955305290152,19.46886508720748,16.85899268392857,12.216679336498178,15.13896103896104,15.676781667607754,13.538411259332456,13.703384193598387,14.403475088789598,12.720796273291926,13.395048701298702,12.594484046702725,12.330966183574878,13.126603835978836,13.350980566534915,14.7869452845,15.3618276976,26.754334452732625,26.6284843426501,1.9130147907647905,1.0583384230503796,0.6549471343873517,4.110845085860431,1.2865225390551478,4.126301242236025,-0.9167132096007332,4.494755751494882,5.114058641975309,5.649609002317023,5.512831210657298,3.589984079929732,6.386973443223443,6.189920715249662,8.094096268965085,7.912766892527762,8.096345955809973,9.217396393175857,9.127933386074261,7.731619075369076,9.581276714513557,10.08152241009125,10.435768489405332,10.48920739348371,10.714654138257133,11.460437906046975,9.44531479978355,11.005166666666666,10.8117303226363,11.300597267316018,13.013607481973299,15.09530570652174,14.884753787878788,25.50539912985565,24.36881811594203,24.0044474496518,21.079577904650368,26.71780389090315
8,5.223906133721352,2.8391194828722006,3.664038499457754,3.027666625494071,3.2320347160603373,4.047508034537926,3.9106855829461664,4.23526031821046,3.6954796738650866,4.8548921739130435,5.107694661835748,3.7549799242424244,3.183218122850684,4.4193256182223575,3.572239295125165,4.709301011320939,2.8095975319969884,2.7276921387790956,3.42195095487401,2.966598133621037,4.3633969762845854,4.703587279314888,2.722155797101449,5.173045391203,3.0044827898550723,3.9854134914361,4.929574494949495,4.743609841762792,6.225053623188407,6.469175583474496,6.600727298136646,5.010187668611581,8.241580745341615,7.957889677610175,8.880369265555192,12.007890504454544,19.19787302931713,21.248378191856453,22.079767855182258,18.973417371175522,16.469945265357143,12.217602295140757,15.094311123658951,15.449785714285715,13.39080434034016,13.509026094276093,14.340379927413482,12.548255828883804,13.041727384933907,12.381252672475746,13.085455486542442,13.26664325013419,13.283371706192359,14.57965527972,15.4821963416,26.799278540554283,26.68758878282044,1.877092305037957,1.1841736887508627,0.7737440364745856,4.054789702837657,1.2817222222222222,4.086921795595709,-0.925773629489603,4.418011426978818,5.081723283839148,5.512783734183329,5.3813356999951205,3.662576273867035,6.422986343366778,6.194278746615703,8.086770656879352,7.954817372482589,8.105753941211212,9.234609657491271,9.10508765852759,7.804163318565492,9.639700545830982,10.158897019355246,10.542505480453052,10.480436720142603,10.74698117883517,11.51684626174308,9.450947802490562,10.997859420289856,10.862270240447959,11.343077604460756,13.056715960201718,15.08955762987013,14.899381654835848,25.448409470963817,24.374751976284582,24.01269911933985,21.035961974820673,26.628882575757576
9,5.149797305665349,2.8161485690235692,3.606477697867858,2.865321796338673,3.1577353223898257,3.949503343382808,3.5724677438388617,4.175896739130435,3.5132137939958588,4.755378781544542,5.067273327439151,3.578239391586674,3.14774609755399,4.273856206293706,3.5559621212121213,4.754562686910513,2.681473829201102,2.5369055461446766,3.3598213815170332,2.892004494756088,4.356086666666666,4.657406304347826,2.6023863636363638,5.095336836171075,2.9349020151044605,3.8876233333333334,4.828577382114218,4.506192446902831,5.999351571737441,6.296687872975276,6.496388913043478,4.864952105348068,8.212723853441245,7.762958612298674,8.789164277751235,11.836303134500001,19.106159420289856,20.919384057971016,21.96776856884058,18.955789553140097,16.38578442535714,12.145757231898537,15.092086269118404,15.454204216073782,13.236701042040965,13.730082228939006,14.909941368860082,12.860344281045752,13.32263986013986,12.627050769646234,13.858961323763955,13.612645027901564,13.507793557025835,14.73935714252,16.1481749068,26.82696761667013,26.697312583996222,1.8552113526570049,1.2149785431959346,0.8150409992372235,4.1447845859571455,1.20650993743099,4.112110483719179,-0.927880893051498,4.406685138850471,5.05024386845039,5.471304688564809,5.39978143233578,3.69769255050505,6.414896878483835,6.20349558050645,8.084512634105026,7.9501926783361565,8.09758391907942,9.20194413074848,9.125440507861704,7.874470638057594,9.719017598343685,10.196093410525778,10.590229296066251,10.559242827565809,10.808163036667755,11.529653506580043,9.495315504081114,11.02605910973085,10.906873664178013,11.367068840579709,13.128006748790106,15.132911706349207,14.907543155602161,25.434729853479855,24.43264532279315,24.090112271786182,20.97282862065471,26.544849980506037
