Station,display_name,name,master_region,Water Temp Range,Air Temp Range,Range Diff (WT - AT),Climo Peak WT,WT Climo Day of Year Peak,Climo Peak AT,AT Climo Day of Year Peak,Lag of Peak (WT - AT),Lag of Peak Correlation,Month of peak WT,Month of peak WL,Peak diff shift
8761724,"Grand Isle, LA","Grand Isle, LA",West Gulf,17.05034433,20.68828649,-3.63794216,31.15590729,220,29.47926635,220,0,1,8,9,-1
8768094,"Calcasieu Pass, LA","Calcasieu Pass, LA",West Gulf,19.12543176,19.7845136,-0.65908184,31.17943611,223,29.64057715,222,1,1,8,9,-1
8770475,"Port Arthur, TX","Port Arthur - Sabine Naches Canal, TX",West Gulf,18.80348728,,,,,,,,,8,9,-1
8770570,"Sabine Pass, TX","Sabine Pass, TX",West Gulf,19.16356057,19.06327214,0.10028843,31.54481324,223,29.59145313,225,-2,1,8,9,-1
8770971,"Rollover Pass, TX","Rollover Pass, TX",West Gulf,19.06154693,21.01163345,-1.95008652,30.56726827,224,30.62743056,222,2,0,8,10,-2
8771341,"Galveston Bay Entr, TX","Galveston Bay Entrance, TX",West Gulf,17.66280522,19.71516808,-2.05236286,30.57876087,237,29.81991705,224,13,1,8,9,-1
8771450,"Galveston Pier 21, TX","Galveston Pier 21, TX",West Gulf,18.35893753,18.75321527,-0.39427774,31.13977204,225,30.18347488,233,-8,2,8,9,-1
8775870,"Corpus Christi, TX","Corpus Christi - Bob Hall Pier, TX",West Gulf,15.52291971,17.09267608,-1.56975637,29.93888773,245,28.86334034,224,21,1,8,10,-2
8776604,"Baffin Bay, TX","Baffin Bay, TX",West Gulf,17.19070954,19.36838439,-2.17767485,31.33863225,224,29.00151515,224,0,0,8,10,-2
9755371,"San Juan Bay, PR","San Juan Bay, PR",Caribbean Islands,3.587951463,3.617246089,-0.029294626,30.08416149,254,28.65920606,225,29,10,9,10,-1
9751401,"St. Croix, VI","Lime Tree Bay - St. Croix, VI",Caribbean Islands,3.694396514,3.573276319,0.121120195,30.0107313,254,29.22165397,270,-16,0,9,10,-1
9076070,"S.W. Pier, MI","S.W. Pier, MI",Great Lakes,19.59254597,34.23634267,-14.6437967,19.85574669,229,19.80591748,199,30,25,8,8,0
9075099,"DeTour Village, MI","DeTour Village, MI",Great Lakes,16.59455288,31.52299659,-14.92844371,17.91934694,227,19.61068306,213,14,18,8,7,1
9075014,"Harbor Beach, MI","Harbor Beach, MI",Great Lakes,22.20917562,29.6073658,-7.39819018,22.79736629,222,21.82143333,200,22,3,8,7,1
9063079,"Marblehead, OH","Marblehead, OH",Great Lakes,24.85128717,30.69880515,-5.84751798,24.91574971,204,25.20300735,200,4,4,8,6,2
9063063,"Cleveland, OH","Cleveland, OH",Great Lakes,20.72429646,28.96212187,-8.23782541,24.23879108,205,24.31020131,201,4,10,8,6,2
9063020,"Buffalo, NY","Buffalo, NY",Great Lakes,24.44733482,29.85036117,-5.40302635,24.7203572,217,23.02456884,213,4,8,8,7,1
9459450,"Sand Point, AK","Sand Point, AK",Alaska,8.616620533,14.71200044,-6.095379907,11.50487693,242,12.2485119,230,12,21,8,1,-5
9455920,"Anchorage, AK","Anchorage, AK",Alaska,15.59127342,26.55904483,-10.96777141,14.54273599,203,15.12279387,202,1,13,7,10,-3
9455500,"Seldovia, AK","Seldovia, AK",Alaska,7.524781374,,,10.85689155,229,,,,,8,12,-4
9454240,"Valdez, AK","Valdez, AK",Alaska,7.780262031,18.23106287,-10.45080084,11.97866643,216,13.36314103,203,13,28,8,10,-2
9455090,"Seward, AK","Seward, AK",Alaska,9.717503234,,,13.87591834,227,,,,,8,12,-4
9453220,"Yakutat Bay, AK","Yakutat Bay, AK",Alaska,9.092576352,,,13.49532847,232,,,,,8,12,-4
9452210,"Juneau, AK","Juneau, AK",Alaska,6.790632873,16.95843848,-10.16780561,10.01716038,219,15.29710145,187,32,19,8,11,-3
9451600,"Sitka, AK","Sitka, AK",Alaska,8.552865787,14.07247327,-5.519607483,13.95905688,228,15.30334448,216,12,20,8,12,-4
9450460,"Ketchikan, AK","Ketchikan, AK",Alaska,8.242022664,14.96811582,-6.726093156,14.06799877,218,16.11019571,210,8,11,8,12,-4
9449880,"Friday Harbor, WA","Friday Harbor, WA",Northwest,4.033673527,,,11.84187617,227,,,,,8,12,-4
9444090,"Port Angeles, WA","Port Angeles, WA",Northwest,3.71484658,11.54208181,-7.82723523,11.53738294,219,15.55491825,225,-6,11,8,1,-5
9444900,"Port Townsend, WA","Port Townsend, WA",Northwest,3.895272333,12.17785664,-8.282584307,11.74994777,233,16.76673624,230,3,16,8,1,-5
9447130,"Seattle, WA","Seattle, WA",Northwest,5.062760684,12.72602023,-7.663259546,13.33812534,230,18.08691455,226,4,33,8,1,-5
9446484,"Tacoma, WA","Tacoma, WA",Northwest,5.009996035,16.55551132,-11.54551529,13.06445786,256,19.60389249,217,39,41,8,1,-5
9440910,"Toke Point, WA","Toke Point, WA",Northwest,10.12738473,10.42019607,-0.29281134,17.58955839,226,16.17580025,252,-26,-3,8,1,-5
9435380,"South Beach, OR","South Beach - Yaquina River, OR",Northwest,3.523422146,8.220991409,-4.697569263,13.10469886,263,15.03128285,228,35,4,9,1,-4
9432780,"Charleston, OR","Charleston - Coos Bay, OR",Northwest,2.833885777,,,,,,,,,6,1,5
9431647,"Port Orford, OR","Port Orford, OR",Northwest,3.23766774,8.339503926,-5.101836186,11.74572101,274,15.92782921,228,46,92,11,1,-2
9419750,"Crescent City, CA","Crescent City, CA",Northwest,4.970959995,6.890368357,-1.919408362,15.28575487,238,14.25966184,244,-6,0,8,1,-5
9418767,"North Spit, CA","North Spit, CA",Northwest,3.043359942,,,,,,,,,8,1,-5
9416841,"Arena Cove, CA","Arena Cove, CA",Northwest,2.684554285,5.503559665,-2.81900538,12.23147869,258,14.33260671,263,-5,92,11,1,-2
9415144,"Port Chicago, CA","Port Chicago, CA",Southwest,11.7630625,12.65956634,-0.89650384,21.20729167,229,20.81037538,250,-21,2,7,7,0
9414863,"Richmond, CA","Richmond, CA",Southwest,7.315605225,8.361408376,-1.045803151,18.31346465,242,18.05906134,250,-8,0,8,9,-1
9414750,"Alameda, CA","Alameda, CA",Southwest,9.739414869,8.143749974,1.595664895,20.53624728,229,17.97888115,250,-21,-7,8,9,-1
9414290,"San Francisco, CA","San Francisco, CA",Southwest,5.19693282,5.804574189,-0.607641369,16.4855068,242,15.65865666,263,-21,0,9,9,0
9412110,"Port San Luis, CA","Port San Luis, CA",Southwest,3.771320842,6.573751611,-2.802430769,15.47078698,240,17.5086001,288,-48,4,9,9,0
9410660,"Los Angeles, CA","Los Angeles - Outer Harbor, CA",Southwest,4.200431872,,,18.86018335,254,,,,,9,9,0
9410230,"La Jolla, CA","La Jolla, CA",Southwest,6.002178337,8.968083909,-2.965905572,20.83394194,209,21.59684265,250,-41,-10,8,9,-1
1617433,"Kawaihae, HI","Kawaihae, HI",Pacific Islands,3.056148417,3.873233626,-0.817085209,28.09175578,250,27.07170712,233,17,5,9,9,0
1615680,"Kahului, HI","Kahului, HI",Pacific Islands,3.118041505,3.9362923,-0.818250795,27.12920575,251,25.90995862,245,6,0,9,9,0
1612480,"Mokuoloe, HI","Mokuoloe, HI",Pacific Islands,4.334377969,,,28.02336043,250,,,,,9,9,0
1619910,Sand Island,"Sand Island, Midway",Pacific Islands,7.884911836,8.670706152,-0.785794316,27.75623785,250,27.02,246,4,0,8,9,-1
1890000,Wake Island,Wake Island,Pacific Islands,3.948241881,4.183515081,-0.2352732,29.95317669,235,28.71444746,251,-16,-11,8,9,-1
