Station ID,Station Name,Group Median Regions,Region Name,Data range,WT Data Classification
8551910,"Reedy Point, DE",DRC,Delaware River/Canals,1993 - 2023,Continuous Climatology
8555889,"Brandywine Shoal Light, DE",LDJ,Lower Delaware/Jersey Coast,2002 - 2016,Semi-Continuous
8557380,"Lewes, DE",LDJ,Lower Delaware/Jersey Coast,1997 - 2023,Continuous Climatology
8571421,"Bishops Head - Hoopers Strait, MD",PCC,Potomac/Central Chesapeake,2005 - 2023,Incomplete
8571892,"Cambridge, MD",PCC,Potomac/Central Chesapeake,1997 - 2023,Incomplete
8573364,"Tolchester Beach, MD",NCB,North Chesapeake Bay,1994 - 2023,Continuous Climatology
8573927,"Chesapeake City, MD",NCB,North Chesapeake Bay,2003 - 2023,Continuous Climatology
8574680,"Baltimore, MD",NCB,North Chesapeake Bay,1997 - 2023,Continuous Climatology
8577330,"Solomons Island, MD",PCC,Potomac/Central Chesapeake,1994 - 2023,Continuous Climatology
8594900,"Washington, DC",NCB,North Chesapeake Bay,1995 - 2023,Semi-Continuous
8631044,"Wachapreague, VA",VOB,Virginia/North Outer Banks,1994 - 2023,Continuous Climatology
8632200,"Kiptopeke, VA",TSC,Tidewater/South Chesapeake,1994 - 2023,Continuous Climatology
8635750,"Lewisetta, VA",PCC,Potomac/Central Chesapeake,1994 - 2023,Continuous Climatology
8637689,"Yorktown USCG Training Center, VA",TSC,Tidewater/South Chesapeake,2004 - 2023,Continuous Climatology
8638610,"Sewell's Point, VA",TSC,Tidewater/South Chesapeake,1995 - 2023,Incomplete
8638863,"Chesapeake Bay Bridge Tunnel, VA",TSC,Tidewater/South Chesapeake,1992 - 2017,Continuous Climatology
8639348,"Money Point, VA",TSC,Tidewater/South Chesapeake,1997 - 2023,Incomplete
8651370,"Duck Pier, NC",VOB,Virginia/North Outer Banks,1995 - 2023,Semi-Continuous
8652587,"Oregon Inlet Marina, NC",VOB,Virginia/North Outer Banks,1994 - 2023,Continuous Climatology
8656483,"Beaufort, NC",CCL,Coastal Carolinas,1994 - 2023,Incomplete
8658120,"Wilmington, NC",CCL,Coastal Carolinas,1994 - 2023,Continuous Climatology
8658163,"Wrightsville Beach, NC",CCL,Coastal Carolinas,2004 - 2023,Semi-Continuous
8661070,"Myrtle Beach - Springmaid Pier, SC",CCL,Coastal Carolinas,1997 - 2023,Semi-Continuous
8665530,"Charleston, SC",CCL,Coastal Carolinas,2000 - 2023,Continuous Climatology
8670870,"Fort Pulaski, GA",CCL,Coastal Carolinas,1997 - 2023,Incomplete
8720030,"Fernandina Beach, FL",CCL,Coastal Carolinas,1997 - 2023,Incomplete
8720218,"Mayport Bar Pilots Dock, FL",CCL,Coastal Carolinas,2000 - 2023,Semi-Continuous
8721604,"Trident Pier - Cape Canaveral, FL",SFK,South Florida/Keys,1997 - 2023,Continuous Climatology
8723214,"Virginia Key, FL",SFK,South Florida/Keys,1994 - 2023,Incomplete
8723970,"Vaca Key, FL",SFK,South Florida/Keys,1994 - 2023,Semi-Continuous
8724580,"Key West, FL",SFK,South Florida/Keys,1996 - 2023,Continuous Climatology
8725110,"Naples, FL",WFL,West Florida,1995 - 2022,Incomplete
